STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-03,,71,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-04,,72,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-05,,70,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-06,,68,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-07,,72,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-08,,65,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-09,,69,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-10,,69,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-11,,66,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-12,,76,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-13,,69,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-14,,71,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-15,,86,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-16,,90,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-17,,72,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-18,,70,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-19,,68,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-20,,65,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-21,,64,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-22,,71,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-23,,69,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-24,,70,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-25,,67,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-26,,70,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-27,,79,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-28,,87,64
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-29,,72,64
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-30,,71,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-08-31,,75,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-01,,70,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-02,,67,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-03,,67,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-04,,68,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-05,,74,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-06,,81,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-07,,91,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-08,,95,65
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-09,,86,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-10,,84,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-11,,69,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-12,,71,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-13,,68,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-14,,67,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-15,,64,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-16,,69,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-17,,67,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-18,,74,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-19,,85,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-20,,93,63
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-21,,89,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-22,,62,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-23,,69,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-24,,90,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-25,,70,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-26,,65,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-27,,68,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-28,,66,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-29,,64,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-09-30,,67,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-01,,72,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-02,,74,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-03,,69,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-04,,72,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-05,,73,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-06,,71,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-07,,72,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-08,,77,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-09,,74,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-10,,72,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-11,,72,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-12,,86,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-13,,87,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-14,,76,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-15,,73,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-16,,69,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-17,,68,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-18,,66,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-19,,69,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-20,,75,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-21,,77,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-22,,73,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-23,,70,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-24,,73,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-25,,68,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-26,,74,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-27,,69,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-28,,67,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-29,,70,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-30,,77,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-31,,75,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-01,,69,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-02,,62,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-03,,64,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-04,,65,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-05,,64,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-06,,67,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-07,,66,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-08,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-09,,57,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-10,,59,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-11,,64,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-12,,63,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-13,,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-14,,64,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-15,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-16,,61,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-17,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-18,,65,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-19,,68,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-20,,70,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-21,,68,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-22,,68,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-23,,59,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-24,,57,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-25,,53,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-11-26,,53,44
